setting_id,wins_red,wins_blue,unknown,avg_turns,score,W_MATERIAL,W_EAT,W_SAFE_EAT,W_THREAT,W_CASCADE_KILL,W_CASCADE_SELF_LOSS,W_TRAPPED
1,2,0,0,27.0,194.6,110,40,30,18,16,12,4
2,2,0,0,29.0,194.2,110,40,30,18,16,12,6
3,2,0,0,29.0,194.2,110,40,30,18,16,12,8
4,1,0,1,109.0,58.2,110,40,30,18,16,15,4
5,1,0,1,109.0,58.2,110,40,30,18,16,15,6
6,1,0,1,109.0,58.2,110,40,30,18,16,15,8
7,0,0,2,,-40,110,40,30,18,16,18,4
8,0,0,2,,-40,110,40,30,18,16,18,6
9,0,0,2,,-40,110,40,30,18,16,18,8
10,2,0,0,28.0,194.4,110,40,30,18,20,12,4
11,2,0,0,29.0,194.2,110,40,30,18,20,12,6
12,2,0,0,29.0,194.2,110,40,30,18,20,12,8
13,2,0,0,29.0,194.2,110,40,30,18,20,15,4
14,2,0,0,28.0,194.4,110,40,30,18,20,15,6
15,2,0,0,29.0,194.2,110,40,30,18,20,15,8
16,2,0,0,28.0,194.4,110,40,30,18,20,18,4
17,2,0,0,29.0,194.2,110,40,30,18,20,18,6
18,2,0,0,30.0,194.0,110,40,30,18,20,18,8
19,2,0,0,29.0,194.2,110,40,30,18,24,12,4
20,2,0,0,28.0,194.4,110,40,30,18,24,12,6
21,2,0,0,29.0,194.2,110,40,30,18,24,12,8
22,2,0,0,29.0,194.2,110,40,30,18,24,15,4
23,2,0,0,29.0,194.2,110,40,30,18,24,15,6
24,2,0,0,29.0,194.2,110,40,30,18,24,15,8
25,2,0,0,29.0,194.2,110,40,30,18,24,18,4
26,2,0,0,28.0,194.4,110,40,30,18,24,18,6
27,2,0,0,28.0,194.4,110,40,30,18,24,18,8
